country,year,total aviation passenger,total aviation freight,total domestic aviation passenger,total international aviation passenger,total domestic aviation freight,total international aviation freight,total domestic aviation,total international aviation,total domestic navigation,total international navigation
BA,1994,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,1995,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,1996,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,1997,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,1998,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,1999,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2000,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2001,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2002,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2003,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2004,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2005,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2006,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2007,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2008,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2009,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2010,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,2011,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
